University of Southern Queensland,24
University of the West of England,23
University of Zagreb,24
Yokohama National University,22
Adam Mickiewicz University,23
AGH University of Science and Technology,24
Ain Shams University,22
Alexandria University,22
"Aligarh Muslim University (AMU), Aligarh",24
Amrita Vishwa Vidyapeetham,23
Ankara ‹niversitesi,23
Assiut University,23
Athens University of Economics and Business,23
Auburn University,24
Australian Catholic University,24
Babes-Bolyai University,23
Baku State University,22
Banaras Hindu University,22
Bangladesh University of Engineering and Technology,24
Baylor University,23
Beijing Foreign Studies University,22
Beirut Arab University,22
Belarusian National Technical University,22
Bina Nusantara University (BINUS),22
Binghamton University SUNY,24
Birla Institute of Technology and Science,24
Birmingham City University (BCU),22
Budapest University of Technology and Economics,24
Canterbury Christ Church University,24
COMSATS Institute of Information Technology,24
Corvinus University of Budapest,24
Cracow University of Technology,24
Czech University of Life Sciences in Prague,22
De La Salle University,24
De Montfort University,23
Diponegoro University,23
E.A.Buketov Karaganda State University,24
Edinburgh Napier University,24
Escuela PolitÈcnica Nacional,24
Escuela Superior PolitÈcnica del Litoral - ESPOL,22
Fordham University,24
Gdansk University of Technology,22
George Mason University,22
German Jordanian University,22
Glasgow Caledonian University,22
Hacettepe University,22
Istanbul University,22
Karaganda State Technical University,23
Kasetsart University,23
Kazakh Ablai khan University of International Relations and World Languages,22
Kent State University,23
Khon Kaen University,24
King Faisal University,22
King Mongkut's University of Technology Thonburi,24
Kuwait University,22
Kyoto Institute of Technology,22
Kyushu Institute of Technology,24
Liverpool John Moores University,23
Lodz University of Technology,22
Marquette University,22
Miami University,22
Middlesex University,24
Multimedia University (MMU),24
Mustansiriyah University,22
Nagoya Institute of Technology (NIT),22
National Chung Cheng University,22
Nicolaus Copernicus University,23
Notre Dame University-Louaize (NDU),23
Novosibirsk State Technical University,24
Ohio University,22
Politecnico di Bari,24
Pontificia Universidad Catolica del Ecuador,24
Pontificia Universidade CatÛlica do Rio Grande do Sul,23
Poznan University of Technology,24
Prince of Songkla University,22
Princess Sumaya University for Technology,24
Rhodes University,24
Riga Stradins University,24
Rikkyo University,22
Ritsumeikan University,22
Ryerson University,23
Saitama University,23
San Diego State University,23
Savitribai Phule Pune University,24
Seoul National University of Science and Technology,23
Sepuluh Nopember Institute of Technology,23
Shahid Beheshti University Tehran,24
Shanghai International Studies University,24
Sheffield Hallam University,23
Shiraz University,23
Sophia University,22
South Ural State University,24
Tallinn University,23
Technical University of Kosice,24
TecnolÛgico de Costa Rica (TEC),23
Texas Tech University,24
Thapar University,24
The Robert Gordon University,24
Tokai University,23
Tokyo University of Science,23
Universidad Austral de Chile,24
Universidad AutÛnoma de Nuevo LeÛn (UANL),24
Universidad AutÛnoma del Estado de MÈxico,24
Universidad AutÛnoma Metropolitana (UAM),23
Universidad CatÛlica AndrÈs Bello - UCAB,24
Universidad de Castilla-La Mancha,23
Universidad de la Rep˙blica (UdelaR),22
Universidad de Lima,22
Universidad de los Andes Chile,22
Universidad de los Andes MÈrida,22
Universidad de Monterrey,22
Universidad de Murcia,23
Universidad de Oviedo,23
Universidad de Puerto Rico,24
Universidad de Talca,24
Universidad del Norte,22
Universidad del Valle,22
Universidad Diego Portales,24
Universidad EAFIT,24
Universidad Nacional Costa Rica,24
Universidad Nacional de AsunciÛn,22
Universidad Nacional de CÛrdoba,24
Universidad Nacional de Mar del Plata,23
Universidad Nacional de Rosario,22
Universidad Peruana Cayetano Heredia,23
Universidad SimÛn BolÌvar Venezuela,23
Universidad TÈcnica Federico Santa MarÌa,23
Universidad TecnolÛgica de Panam· (UTP),23
Universidad TecnolÛgica Nacional (UTN),23
